cohort	antibiotics	body_site	age	16S_sample_count	metabolomics_sample_count
LP-C-section	no	Oral	0.0	7	7
LP-C-section	no	Oral	1.0	8	10
LP-C-section	no	Oral	2.0	16	19
LP-C-section	no	Oral	3.0	14	18
LP-C-section	no	Oral	4.0	16	18
LP-C-section	no	Oral	5.0	11	15
LP-C-section	no	Oral	6.0	10	15
LP-C-section	no	Oral	7.0	9	10
LP-C-section	no	Skin	0.0	12	15
LP-C-section	no	Skin	1.0	11	13
LP-C-section	no	Skin	2.0	14	18
LP-C-section	no	Skin	3.0	13	17
LP-C-section	no	Skin	4.0	15	18
LP-C-section	no	Skin	5.0	10	11
LP-C-section	no	Skin	6.0	9	9
LP-C-section	no	Skin	7.0	10	10
LP-C-section	no	Stool	0.0	7	9
LP-C-section	no	Stool	1.0	12	17
LP-C-section	no	Stool	2.0	14	17
LP-C-section	no	Stool	3.0	11	16
LP-C-section	no	Stool	4.0	15	18
LP-C-section	no	Stool	5.0	11	14
LP-C-section	no	Stool	6.0	11	11
LP-C-section	no	Stool	7.0	10	10
LP-C-section	yes	Oral	1.0	3	4
LP-C-section	yes	Oral	2.0	2	3
LP-C-section	yes	Oral	3.0	4	5
LP-C-section	yes	Oral	4.0	5	5
LP-C-section	yes	Oral	5.0	5	5
LP-C-section	yes	Oral	6.0	3	4
LP-C-section	yes	Oral	7.0	3	4
LP-C-section	yes	Skin	1.0	1	3
LP-C-section	yes	Skin	2.0	3	4
LP-C-section	yes	Skin	3.0	2	3
LP-C-section	yes	Skin	4.0	5	5
LP-C-section	yes	Skin	5.0	5	5
LP-C-section	yes	Skin	6.0	3	4
LP-C-section	yes	Skin	7.0	3	4
LP-C-section	yes	Stool	1.0	3	4
LP-C-section	yes	Stool	2.0	2	4
LP-C-section	yes	Stool	3.0	3	4
LP-C-section	yes	Stool	4.0	4	4
LP-C-section	yes	Stool	5.0	5	5
LP-C-section	yes	Stool	6.0	2	3
LP-C-section	yes	Stool	7.0	3	4
LP-Vaginal	no	Oral	0.0	16	15
LP-Vaginal	no	Oral	1.0	11	12
LP-Vaginal	no	Oral	2.0	12	14
LP-Vaginal	no	Oral	3.0	9	11
LP-Vaginal	no	Oral	4.0	9	9
LP-Vaginal	no	Oral	5.0	8	7
LP-Vaginal	no	Oral	6.0	7	7
LP-Vaginal	no	Oral	7.0	6	5
LP-Vaginal	no	Skin	0.0	15	15
LP-Vaginal	no	Skin	1.0	13	12
LP-Vaginal	no	Skin	2.0	12	11
LP-Vaginal	no	Skin	3.0	12	8
LP-Vaginal	no	Skin	4.0	9	8
LP-Vaginal	no	Skin	5.0	9	7
LP-Vaginal	no	Skin	6.0	7	6
LP-Vaginal	no	Skin	7.0	6	6
LP-Vaginal	no	Stool	0.0	8	11
LP-Vaginal	no	Stool	1.0	10	16
LP-Vaginal	no	Stool	2.0	12	16
LP-Vaginal	no	Stool	3.0	9	15
LP-Vaginal	no	Stool	4.0	8	10
LP-Vaginal	no	Stool	5.0	9	11
LP-Vaginal	no	Stool	6.0	7	8
LP-Vaginal	no	Stool	7.0	6	6
LP-Vaginal	yes	Oral	1.0	4	4
LP-Vaginal	yes	Oral	2.0	5	5
LP-Vaginal	yes	Oral	3.0	3	4
LP-Vaginal	yes	Oral	4.0	5	5
LP-Vaginal	yes	Oral	5.0	5	5
LP-Vaginal	yes	Oral	6.0	6	6
LP-Vaginal	yes	Oral	7.0	6	5
LP-Vaginal	yes	Skin	1.0	3	4
LP-Vaginal	yes	Skin	2.0	4	5
LP-Vaginal	yes	Skin	3.0	4	5
LP-Vaginal	yes	Skin	4.0	4	5
LP-Vaginal	yes	Skin	5.0	4	4
LP-Vaginal	yes	Skin	6.0	5	6
LP-Vaginal	yes	Skin	7.0	5	6
LP-Vaginal	yes	Stool	1.0	2	3
LP-Vaginal	yes	Stool	2.0	5	6
LP-Vaginal	yes	Stool	3.0	4	5
LP-Vaginal	yes	Stool	4.0	4	4
LP-Vaginal	yes	Stool	5.0	5	6
LP-Vaginal	yes	Stool	6.0	6	8
LP-Vaginal	yes	Stool	7.0	6	6
VLBW-C-section	yes	Oral	0.0	1	4
VLBW-C-section	yes	Oral	1.0	8	11
VLBW-C-section	yes	Oral	2.0	12	17
VLBW-C-section	yes	Oral	3.0	12	15
VLBW-C-section	yes	Oral	4.0	13	17
VLBW-C-section	yes	Oral	5.0	12	15
VLBW-C-section	yes	Oral	6.0	17	17
VLBW-C-section	yes	Oral	7.0	10	13
VLBW-C-section	yes	Skin	0.0	3	4
VLBW-C-section	yes	Skin	1.0	11	12
VLBW-C-section	yes	Skin	2.0	14	15
VLBW-C-section	yes	Skin	3.0	16	16
VLBW-C-section	yes	Skin	4.0	15	16
VLBW-C-section	yes	Skin	5.0	14	15
VLBW-C-section	yes	Skin	6.0	17	16
VLBW-C-section	yes	Skin	7.0	12	14
VLBW-C-section	yes	Stool	1.0	13	14
VLBW-C-section	yes	Stool	2.0	13	14
VLBW-C-section	yes	Stool	3.0	9	11
VLBW-C-section	yes	Stool	4.0	13	13
VLBW-C-section	yes	Stool	5.0	14	14
VLBW-C-section	yes	Stool	6.0	14	14
VLBW-C-section	yes	Stool	7.0	9	9
